Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_9,VAR_2_9,Individual,Census usually resident population count aged 15 years and over,2018,Count,Individual home ownership,Do not own and do not hold in a family trust,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Individual home ownership (Do not own and do not hold in a family trust)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_10,VAR_2_10,Individual,Census usually resident population count aged 15 years and over,2018,Count,Individual home ownership,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Individual home ownership (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_11,VAR_2_11,Individual,Census usually resident population count aged 15 years and over,2018,Count,Individual home ownership,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Individual home ownership (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_12,VAR_2_12,Individual,Census usually resident population count aged 15 years and over,2018,Count,Individual home ownership,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Individual home ownership (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_13,VAR_2_13,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Hold in a family trust,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Hold in a family trust)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_14,VAR_2_14,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Own or partly own,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Own or partly own)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_15,VAR_2_15,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Do not own and do not hold in a family trust,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Do not own and do not hold in a family trust)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_16,VAR_2_16,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_17,VAR_2_17,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_18,VAR_2_18,Individual,Census usually resident population count aged 15 years and over,2023,Count,Individual home ownership,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Individual home ownership (Total stated)"
