Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_212,VAR_2_212,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Level 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Level 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_213,VAR_2_213,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Level 5 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Level 5 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_214,VAR_2_214,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Level 6 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Level 6 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_215,VAR_2_215,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Bachelor degree and Level 7 qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Bachelor degree and Level 7 qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_216,VAR_2_216,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Post-graduate and honours degrees,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Post-graduate and honours degrees)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_217,VAR_2_217,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Masters degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Masters degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_218,VAR_2_218,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Doctorate degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Doctorate degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_219,VAR_2_219,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_220,VAR_2_220,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_221,VAR_2_221,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_222,VAR_2_222,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_223,VAR_2_223,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,No qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (No qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_224,VAR_2_224,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 1 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 1 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_225,VAR_2_225,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 2 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 2 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_226,VAR_2_226,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 3 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 3 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_227,VAR_2_227,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_228,VAR_2_228,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 5 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 5 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_229,VAR_2_229,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Level 6 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Level 6 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_230,VAR_2_230,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Bachelor degree and Level 7 qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Bachelor degree and Level 7 qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_231,VAR_2_231,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Post-graduate and honours degrees,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Post-graduate and honours degrees)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_232,VAR_2_232,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Masters degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Masters degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_233,VAR_2_233,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Doctorate degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Doctorate degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_234,VAR_2_234,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_235,VAR_2_235,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_236,VAR_2_236,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_237,VAR_2_237,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_238,VAR_2_238,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,No qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (No qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_239,VAR_2_239,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 1 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 1 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_240,VAR_2_240,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 2 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 2 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_241,VAR_2_241,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 3 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 3 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_242,VAR_2_242,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_243,VAR_2_243,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 5 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 5 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_244,VAR_2_244,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Level 6 diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Level 6 diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_245,VAR_2_245,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Bachelor degree and Level 7 qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Bachelor degree and Level 7 qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_246,VAR_2_246,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Post-graduate and honours degrees,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Post-graduate and honours degrees)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_247,VAR_2_247,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Masters degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Masters degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_248,VAR_2_248,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Doctorate degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Doctorate degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_249,VAR_2_249,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_250,VAR_2_250,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_251,VAR_2_251,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_252,VAR_2_252,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_253,VAR_2_253,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,No post-school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (No post-school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_254,VAR_2_254,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,New Zealand,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_255,VAR_2_255,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,Overseas,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_256,VAR_2_256,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_257,VAR_2_257,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_258,VAR_2_258,Individual,Census usually resident population count aged 15 years and over,2018,Count,Post-school qualification in New Zealand indicator,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_259,VAR_2_259,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,No post-school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (No post-school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_260,VAR_2_260,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,New Zealand,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_261,VAR_2_261,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,Overseas,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_262,VAR_2_262,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_263,VAR_2_263,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_264,VAR_2_264,Individual,Census usually resident population count aged 15 years and over,2023,Count,Post-school qualification in New Zealand indicator,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Post-school qualification in New Zealand indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_265,VAR_2_265,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,No qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (No qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_266,VAR_2_266,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Level 1 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Level 1 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_267,VAR_2_267,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Level 2 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Level 2 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_268,VAR_2_268,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Level 3 or 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Level 3 or 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_269,VAR_2_269,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_270,VAR_2_270,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_271,VAR_2_271,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_272,VAR_2_272,Individual,Census usually resident population count aged 15 years and over,2013,Count,Highest secondary school qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Highest secondary school qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_273,VAR_2_273,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,No qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (No qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_274,VAR_2_274,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Level 1 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Level 1 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_275,VAR_2_275,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Level 2 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Level 2 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_276,VAR_2_276,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Level 3 or 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Level 3 or 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_277,VAR_2_277,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_278,VAR_2_278,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_279,VAR_2_279,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_280,VAR_2_280,Individual,Census usually resident population count aged 15 years and over,2018,Count,Highest secondary school qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2018, Measure: Count, Var1: Highest secondary school qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_281,VAR_2_281,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,No qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (No qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_282,VAR_2_282,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Level 1 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Level 1 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_283,VAR_2_283,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Level 2 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Level 2 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_284,VAR_2_284,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Level 3 or 4 certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Level 3 or 4 certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_285,VAR_2_285,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Overseas secondary school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Overseas secondary school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_286,VAR_2_286,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Not elsewhere included,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_287,VAR_2_287,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Total,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_288,VAR_2_288,Individual,Census usually resident population count aged 15 years and over,2023,Count,Highest secondary school qualification,Total stated,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2023, Measure: Count, Var1: Highest secondary school qualification (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_289,VAR_2_289,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,No post-school qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (No post-school qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_290,VAR_2_290,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 1 Certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 1 Certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_291,VAR_2_291,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 2 Certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 2 Certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_292,VAR_2_292,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 3 Certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 3 Certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_293,VAR_2_293,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 4 Certificate,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 4 Certificate)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_294,VAR_2_294,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 5 Diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 5 Diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_295,VAR_2_295,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level 6 Diploma,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level 6 Diploma)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_296,VAR_2_296,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Bachelor Degree and Level 7 qualification,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Bachelor Degree and Level 7 qualification)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_297,VAR_2_297,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Post-graduate and Honours Degrees,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Post-graduate and Honours Degrees)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_298,VAR_2_298,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Masters Degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Masters Degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_299,VAR_2_299,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Doctorate Degree,"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Doctorate Degree)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_300,VAR_2_300,Individual,Census usually resident population count aged 15 years and over,2013,Count,Post-school qualification level of attainment,Level not given (but subject given),"Subject pop: Census usually resident population count aged 15 years and over, Year: 2013, Measure: Count, Var1: Post-school qualification level of attainment (Level not given (but subject given))"
