scenario,CI_charged_sa2s_45min,CI_no_alt_indicator,CI_all_30min,CI_all_45min,viable_alt_threshold_jobs
1a,-0.0037,,0.0372,-0.0328,130085.0
1c,0.0282,,0.0372,-0.0328,130085.0
2c,0.0261,-0.1256,0.0372,-0.0328,130085.0
3b,-0.1792,0.2938,0.0372,-0.0328,130085.0
3c,-0.1303,0.2938,0.0372,-0.0328,130085.0
3e,-0.0329,-0.0549,0.0372,-0.0328,130085.0
