scenario,car_commuters_total,charged_commuters,charged_pct,with_alternative_commuters,trapped_commuters,trapped_pct_of_charged,trapped_deprived_share,CI_charged,CI_trapped
1a,249900,18978,7.6,6018,12960,68.3,18.8,-0.258,-0.1732
1c,249900,37389,15.0,10932,26457,70.8,18.9,-0.2393,-0.1685
2c,249900,47097,18.8,4023,43074,91.5,33.7,0.0188,0.0127
3b,249900,205362,82.2,55680,149682,72.9,31.8,0.0114,-0.0026
3c,249900,209619,83.9,58452,151167,72.1,31.5,0.0017,-0.0072
3e,249900,48450,19.4,8058,40392,83.4,27.5,-0.046,-0.0277
