NZDep_Decile,no_charge,pays_with_alternative,scenario,pays_without_alternative
1.0,55,0,1a,
2.0,46,1,1a,
3.0,52,0,1a,
4.0,46,0,1a,
5.0,49,1,1a,
6.0,45,3,1a,
7.0,45,5,1a,
8.0,47,3,1a,
9.0,47,2,1a,
10.0,50,0,1a,
1.0,53,2,1c,
2.0,45,2,1c,
3.0,51,1,1c,
4.0,43,3,1c,
5.0,47,3,1c,
6.0,42,6,1c,
7.0,45,5,1c,
8.0,47,3,1c,
9.0,47,2,1c,
10.0,50,0,1c,
1.0,35,6,2c,14.0
2.0,29,10,2c,8.0
3.0,34,14,2c,4.0
4.0,31,10,2c,5.0
5.0,30,11,2c,9.0
6.0,22,14,2c,12.0
7.0,32,8,2c,10.0
8.0,42,6,2c,2.0
9.0,40,4,2c,5.0
10.0,45,0,2c,5.0
1.0,51,1,3b,3.0
2.0,37,5,3b,5.0
3.0,38,8,3b,6.0
4.0,30,7,3b,9.0
5.0,33,7,3b,10.0
6.0,32,8,3b,8.0
7.0,32,4,3b,14.0
8.0,24,4,3b,22.0
9.0,24,1,3b,24.0
10.0,31,3,3b,16.0
1.0,51,1,3c,3.0
2.0,36,6,3c,5.0
3.0,38,8,3c,6.0
4.0,30,7,3c,9.0
5.0,32,8,3c,10.0
6.0,29,11,3c,8.0
7.0,27,9,3c,14.0
8.0,21,7,3c,22.0
9.0,22,3,3c,24.0
10.0,31,3,3c,16.0
1.0,55,0,3e,0.0
2.0,45,1,3e,1.0
3.0,50,0,3e,2.0
4.0,40,2,3e,4.0
5.0,46,2,3e,2.0
6.0,47,1,3e,0.0
7.0,49,0,3e,1.0
8.0,48,1,3e,1.0
9.0,48,0,3e,1.0
10.0,49,0,3e,1.0
