scenario,NZDep_Decile,charged_commuters,trapped_commuters
1a,1,3777,2343
1a,2,2400,1440
1a,3,2613,1389
1a,4,1962,1191
1a,5,2100,1191
1a,6,1989,1587
1a,7,1584,1377
1a,8,1674,1596
1a,9,612,579
1a,10,267,267
1c,1,6921,4773
1c,2,4647,2925
1c,3,5313,2778
1c,4,3864,2442
1c,5,4137,2643
1c,6,4005,3006
1c,7,3261,2880
1c,8,3228,3075
1c,9,1365,1296
1c,10,648,639
2c,1,5301,4866
2c,2,4350,4050
2c,3,4920,4461
2c,4,4089,3861
2c,5,4227,3837
2c,6,3783,3465
2c,7,4380,4017
2c,8,6804,6306
2c,9,4479,4044
2c,10,4764,4167
3b,1,20409,16995
3b,2,18729,14454
3b,3,22554,15723
3b,4,19353,13566
3b,5,22530,15456
3b,6,17949,12846
3b,7,18768,13116
3b,8,24651,18591
3b,9,21192,14976
3b,10,19215,13959
3c,1,21684,17577
3c,2,19377,14592
3c,3,23253,15948
3c,4,19890,13704
3c,5,23091,15627
3c,6,18249,12921
3c,7,18852,13140
3c,8,24744,18684
3c,9,21213,14976
3c,10,19254,13998
3e,1,3990,3750
3e,2,3996,3192
3e,3,6858,5652
3e,4,5616,3831
3e,5,6039,4437
3e,6,5025,4446
3e,7,4587,3987
3e,8,7041,6207
3e,9,3783,3489
3e,10,1515,1401
