residence_sa2,NZDep_Decile,scenario,car_commuters_out,od_charged_commuters,od_trapped_commuters,od_charged_share,od_burden
127200,7.0,1a,78.0,0,0,0.0,no_charge
117300,7.0,1a,189.0,0,0,0.0,no_charge
116701,3.0,1a,864.0,60,60,0.0694,no_charge
118100,4.0,1a,648.0,36,18,0.0556,no_charge
117400,4.0,1a,390.0,9,9,0.0231,no_charge
160401,5.0,1a,834.0,21,21,0.0252,no_charge
134500,6.0,1a,84.0,0,0,0.0,no_charge
153600,9.0,1a,396.0,0,0,0.0,no_charge
153200,9.0,1a,216.0,6,6,0.0278,no_charge
154202,9.0,1a,477.0,0,0,0.0,no_charge
154201,8.0,1a,582.0,9,9,0.0155,no_charge
155401,5.0,1a,462.0,6,6,0.013,no_charge
147900,9.0,1a,60.0,0,0,0.0,no_charge
134800,7.0,1a,0.0,0,0,0.0,no_charge
133100,7.0,1a,396.0,57,57,0.1439,no_charge
132002,5.0,1a,387.0,54,54,0.1395,no_charge
132001,7.0,1a,480.0,63,63,0.1312,no_charge
130601,8.0,1a,726.0,105,105,0.1446,no_charge
135000,8.0,1a,834.0,96,96,0.1151,no_charge
131700,8.0,1a,708.0,66,66,0.0932,no_charge
116801,2.0,1a,732.0,48,48,0.0656,no_charge
138100,5.0,1a,537.0,102,0,0.1899,no_charge
156901,5.0,1a,1068.0,42,42,0.0393,no_charge
129400,3.0,1a,453.0,48,48,0.106,no_charge
121001,5.0,1a,858.0,36,36,0.042,no_charge
122101,4.0,1a,690.0,51,51,0.0739,no_charge
121401,4.0,1a,468.0,21,21,0.0449,no_charge
122400,8.0,1a,723.0,57,57,0.0788,no_charge
123900,1.0,1a,606.0,60,45,0.099,no_charge
121800,3.0,1a,672.0,48,48,0.0714,no_charge
129300,4.0,1a,501.0,42,15,0.0838,no_charge
122802,5.0,1a,594.0,48,33,0.0808,no_charge
122801,6.0,1a,393.0,15,9,0.0382,no_charge
124401,4.0,1a,780.0,72,45,0.0923,no_charge
126500,3.0,1a,438.0,42,0,0.0959,no_charge
125202,1.0,1a,237.0,12,0,0.0506,no_charge
127400,1.0,1a,531.0,99,0,0.1864,no_charge
125201,1.0,1a,408.0,63,0,0.1544,no_charge
137202,6.0,1a,519.0,63,63,0.1214,no_charge
139501,5.0,1a,363.0,33,33,0.0909,no_charge
137201,6.0,1a,423.0,27,27,0.0638,no_charge
138600,6.0,1a,396.0,51,51,0.1288,no_charge
138901,3.0,1a,519.0,60,60,0.1156,no_charge
154600,,1a,0.0,0,0,0.0,no_charge
152900,3.0,1a,498.0,12,12,0.0241,no_charge
152201,4.0,1a,846.0,30,30,0.0355,no_charge
156000,7.0,1a,6.0,0,0,0.0,no_charge
158602,2.0,1a,546.0,24,24,0.044,no_charge
118300,4.0,1a,561.0,24,24,0.0428,no_charge
118700,2.0,1a,564.0,42,42,0.0745,no_charge
118200,3.0,1a,906.0,45,45,0.0497,no_charge
148300,4.0,1a,333.0,0,0,0.0,no_charge
149701,4.0,1a,567.0,0,0,0.0,no_charge
146400,2.0,1a,558.0,9,9,0.0161,no_charge
149702,5.0,1a,312.0,0,0,0.0,no_charge
158800,10.0,1a,684.0,15,15,0.0219,no_charge
152500,4.0,1a,294.0,0,0,0.0,no_charge
122200,1.0,1a,537.0,69,69,0.1285,no_charge
123701,1.0,1a,441.0,72,72,0.1633,no_charge
123702,1.0,1a,327.0,51,39,0.156,no_charge
157500,8.0,1a,747.0,30,30,0.0402,no_charge
126300,1.0,1a,579.0,75,51,0.1295,no_charge
134000,1.0,1a,171.0,18,18,0.1053,no_charge
159700,10.0,1a,276.0,0,0,0.0,no_charge
158700,10.0,1a,552.0,0,0,0.0,no_charge
159500,10.0,1a,570.0,12,12,0.0211,no_charge
157702,10.0,1a,459.0,0,0,0.0,no_charge
157701,10.0,1a,450.0,0,0,0.0,no_charge
157901,8.0,1a,609.0,6,6,0.0099,no_charge
153400,1.0,1a,1095.0,39,39,0.0356,no_charge
131802,1.0,1a,0.0,0,0,0.0,no_charge
161900,9.0,1a,369.0,0,0,0.0,no_charge
161800,1.0,1a,858.0,15,15,0.0175,no_charge
154701,2.0,1a,309.0,18,18,0.0583,no_charge
155301,2.0,1a,342.0,12,12,0.0351,no_charge
133000,1.0,1a,333.0,30,24,0.0901,no_charge
