Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_8,VAR_4_8,Dwelling,Households in occupied private dwellings,2013,Count,Access to telecommunication systems (total responses),Access to the internet,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Access to telecommunication systems (Access to the internet)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_9,VAR_4_9,Dwelling,Households in occupied private dwellings,2013,Count,Access to telecommunication systems (total responses),Not Elsewhere Included,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Access to telecommunication systems (Not Elsewhere Included)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_10,VAR_4_10,Dwelling,Households in occupied private dwellings,2013,Count,Access to telecommunication systems (total responses),Total,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Access to telecommunication systems (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_11,VAR_4_11,Dwelling,Households in occupied private dwellings,2013,Count,Access to telecommunication systems (total responses),Total stated,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Access to telecommunication systems (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_12,VAR_4_12,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),No access to telecommunication systems,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (No access to telecommunication systems)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_13,VAR_4_13,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Access to a cellphone/mobile phone,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Access to a cellphone/mobile phone)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_14,VAR_4_14,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Access to a telephone,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Access to a telephone)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_15,VAR_4_15,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Access to a fax machine,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Access to a fax machine)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_16,VAR_4_16,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Access to the internet,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Access to the internet)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_17,VAR_4_17,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Not Elsewhere Included,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Not Elsewhere Included)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_18,VAR_4_18,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Total,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_19,VAR_4_19,Dwelling,Households in occupied private dwellings,2018,Count,Access to telecommunication systems (total responses),Total stated,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Access to telecommunication systems (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_20,VAR_4_20,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),No access to telecommunication systems,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (No access to telecommunication systems)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_21,VAR_4_21,Dwelling,Households in occupied private dwellings,2023,Count,Access to telecommunication systems (total responses),Access to a cellphone/mobile phone,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Access to telecommunication systems (Access to a cellphone/mobile phone)"
