scenario,all_uw,all_pw,urban_uw,urban_pw,n_all,n_urban
1a,-0.0023441936809849026,-0.0052752057598845666,-0.0023441936809849026,-0.0052752057598845666,15,15
1c,0.028162250400571714,0.03315800192366142,0.028162250400571714,0.03315800192366142,27,27
2c,0.034359974783386454,0.025693765289823194,0.034359974783386454,0.025693765289823194,158,158
3b,-0.20429180201140368,-0.20539129011832286,-0.21613482094712466,-0.2108182206057736,173,171
3c,-0.14451322584597096,-0.1468556844709346,-0.1550014897174635,-0.15226977412929038,188,186
3e,-0.07248283384653953,-0.00046752499246672353,-0.07248283384653953,-0.00046752499246672353,22,22
