scenario,definition,half_width_m,charged_commuters,charged_pct_of_all,trapped_commuters,trapped_pct,n_charged_SA2,CI_nzdep,reading_nzdep,CI_income_eq,reading_income_eq
1a,cordon (data/scenarios),,18996,7.6,12966,68.3,395,-0.0547,Mildly regressive,-0.1701,Moderately regressive
1c,cordon (data/scenarios),,37005,14.8,25866,69.9,427,-0.0685,Mildly regressive,-0.162,Moderately regressive
2c,double cordon (data/scenarios),,44613,17.9,31011,69.5,430,-0.0673,Mildly regressive,-0.1589,Moderately regressive
3b,motorway buffer (data/scenarios),250.0,60309,24.1,43608,72.3,452,-0.0361,Neutral,-0.1163,Moderately regressive
3b,motorway buffer (data/scenarios),500.0,66912,26.8,48582,72.6,453,-0.0363,Neutral,-0.1161,Moderately regressive
3b,motorway buffer (data/scenarios),1000.0,74220,29.7,53766,72.4,460,-0.0415,Neutral,-0.1194,Moderately regressive
3b,motorway buffer (data/scenarios),2000.0,101598,40.7,74634,73.5,484,-0.039,Neutral,-0.1106,Moderately regressive
3b,motorway buffer (data/scenarios),3000.0,115068,46.0,82782,71.9,484,-0.039,Neutral,-0.1106,Moderately regressive
3c,motorway buffer (data/scenarios),250.0,60771,24.3,44070,72.5,452,-0.0361,Neutral,-0.1163,Moderately regressive
3c,motorway buffer (data/scenarios),500.0,67395,27.0,49065,72.8,453,-0.0363,Neutral,-0.1161,Moderately regressive
3c,motorway buffer (data/scenarios),1000.0,74412,29.8,53958,72.5,460,-0.0415,Neutral,-0.1194,Moderately regressive
3c,motorway buffer (data/scenarios),2000.0,103242,41.3,75582,73.2,484,-0.039,Neutral,-0.1106,Moderately regressive
3c,motorway buffer (data/scenarios),3000.0,115812,46.3,83130,71.8,484,-0.039,Neutral,-0.1106,Moderately regressive
3e,motorway buffer (data/scenarios),250.0,37464,15.0,30366,81.1,475,-0.0491,Neutral,-0.1283,Moderately regressive
3e,motorway buffer (data/scenarios),500.0,42597,17.0,34338,80.6,477,-0.0447,Neutral,-0.121,Moderately regressive
3e,motorway buffer (data/scenarios),1000.0,57870,23.2,45951,79.4,480,-0.0447,Neutral,-0.1202,Moderately regressive
3e,motorway buffer (data/scenarios),2000.0,89355,35.8,67866,76.0,482,-0.0417,Neutral,-0.1142,Moderately regressive
3e,motorway buffer (data/scenarios),3000.0,125646,50.3,94395,75.1,485,-0.04,Neutral,-0.1111,Moderately regressive
