scenario,charged_commuters,trapped_commuters,trapped_pct,d1_3_pct,d8_10_pct,CI_charged_pw,equity_reading,moran_I,moran_p,n_charged_SA2
1a,18978,12960,68.3,39.2,14.0,-0.1685,Moderately regressive,0.464,0.001,396
1c,37389,26457,70.8,38.0,14.2,-0.1476,Moderately regressive,0.505,0.001,422
2c,47097,43074,91.5,24.1,29.6,0.0474,Neutral,0.616,0.001,331
3b,205362,149682,72.9,28.6,27.0,-0.1108,Moderately regressive,0.346,0.001,489
3c,209619,151167,72.1,28.9,26.8,-0.1108,Moderately regressive,0.339,0.001,489
3e,48450,40392,83.4,22.6,21.4,-0.1526,Moderately regressive,0.619,0.001,405
