SA22023_code,name,land_area_sqkm,n_sa1,pop_total,weighting,offset_m,offset_km
119301,Inlet Waitemata Harbour,0.05712612,1,3.0,population,4664.30146967462,4.66430146967462
158900,Tuscany Heights,6.62034751,9,1611.0,population,421.2931219582664,0.4212931219582664
140902,Lynfield Harbour View,0.85172301,10,1713.0,population,269.8786871740975,0.26987868717409746
111500,Tawharanui Peninsula,46.7031087,14,2187.0,population,268.786443068514,0.268786443068514
112301,Helensville Rural,56.40799477,10,1626.0,population,266.9708513920547,0.26697085139205473
149001,Pakuranga West,0.93812885,19,2712.0,population,122.46832743411085,0.12246832743411085
128700,Rosebank Peninsula,2.36969739,1,9.0,population,108.50265064242045,0.10850265064242044
145900,Penrose,6.42102666,8,1032.0,population,54.55150018478224,0.05455150018478224
127500,Henderson Central,2.01499106,7,1488.0,population,42.15685323443162,0.04215685323443162
131300,Wynyard-Viaduct,0.60050714,7,1242.0,population,34.23343546309302,0.03423343546309302
114101,Silverdale South (Auckland),10.41165429,8,1140.0,population,33.44737411237699,0.03344737411237699
147100,Panmure East,1.015359,23,3393.0,population,31.336270167931314,0.031336270167931314
146700,Panmure West,0.64442165,2,330.0,population,28.06714326307111,0.02806714326307111
156800,Rongomai West,0.48507194,14,2322.0,population,12.561312658971948,0.012561312658971948
143700,Saint Johns West,1.04170722,20,2970.0,population,8.970409150977998,0.008970409150977998
150900,Ōtāhuhu East,0.78696612,15,2304.0,population,1.0695744964227165,0.0010695744964227165
