variable_or_scenario,HH,HL,LH,LL,ns
access_45min,94,0,2,164,359
1a,89,6,11,125,388
1c,77,6,15,144,377
2c,94,2,12,169,342
3b,62,8,13,87,449
3c,59,7,13,86,454
3e,70,1,14,193,341
