scenario,charged_commuters,trapped_commuters,trapped_pct,d1_3_pct,d8_10_pct,CI_charged_pw,equity_reading,moran_I,moran_p,n_charged_SA2
1a,18978,12960,68.3,37.1,15.9,-0.2304,Strongly regressive,0.464,0.001,396
1c,37389,26457,70.8,36.5,16.0,-0.1964,Moderately regressive,0.505,0.001,422
2c,47097,43074,91.5,19.8,32.3,0.0109,Neutral,0.616,0.001,331
3b,205362,149682,72.9,25.5,30.4,-0.1976,Moderately regressive,0.346,0.001,489
3c,209619,151167,72.1,25.9,30.2,-0.1976,Moderately regressive,0.339,0.001,489
3e,48450,40392,83.4,21.0,24.9,-0.2294,Strongly regressive,0.619,0.001,405
