scenario,charged_commuters,trapped_commuters,trapped_pct,d1_3_pct,d8_10_pct,CI_charged_pw,equity_reading,moran_I,moran_p,n_charged_SA2
1a,18978,12960,68.3,39.9,18.8,-0.0537,Mildly regressive,0.464,0.001,396
1c,37389,26457,70.8,39.6,18.9,-0.0621,Mildly regressive,0.505,0.001,422
2c,47097,43074,91.5,31.1,33.7,0.0373,Neutral,0.616,0.001,331
3b,205362,149682,72.9,31.5,31.8,-0.0399,Neutral,0.346,0.001,489
3c,209619,151167,72.1,31.8,31.5,-0.0399,Neutral,0.339,0.001,489
3e,48450,40392,83.4,31.2,27.5,-0.0803,Mildly regressive,0.619,0.001,405
