scenario,car_commuters_total,charged_commuters,charged_pct,with_alternative_commuters,trapped_commuters,trapped_pct_of_charged,trapped_deprived_share,CI_charged,CI_trapped
1a,297762,19830,6.7,5286,14544,73.3,21.5,-0.1885,-0.1291
1c,297762,38934,13.1,9819,29115,74.8,21.9,-0.1693,-0.1225
2c,297762,50745,17.0,3384,47361,93.3,36.3,0.0549,0.0502
3b,297762,223644,75.1,43950,179694,80.3,33.0,0.0447,0.0293
3c,297762,228063,76.6,46578,181485,79.6,32.8,0.0363,0.0247
3e,297762,58053,19.5,6882,51171,88.1,26.8,-0.0282,-0.0314
