residence_sa2,NZDep_Decile,scenario,car_commuters_out,od_charged_commuters,od_trapped_commuters,od_charged_share,od_burden
143100,3.0,3e,825.0,24,24,0.0291,no_charge
142400,1.0,3e,534.0,0,0,0.0,no_charge
140500,1.0,3e,603.0,21,21,0.0348,no_charge
141000,4.0,3e,687.0,15,15,0.0218,no_charge
141600,1.0,3e,459.0,6,6,0.0131,no_charge
143900,3.0,3e,456.0,9,9,0.0197,no_charge
140000,2.0,3e,744.0,18,18,0.0242,no_charge
139400,2.0,3e,366.0,18,18,0.0492,no_charge
115901,1.0,3e,759.0,57,57,0.0751,no_charge
113700,,3e,0.0,0,0,0.0,no_charge
157200,10.0,3e,324.0,0,0,0.0,no_charge
156800,10.0,3e,351.0,0,0,0.0,no_charge
165800,6.0,3e,615.0,75,75,0.122,no_charge
165700,7.0,3e,375.0,9,9,0.024,no_charge
128700,,3e,0.0,0,0,0.0,no_charge
163700,9.0,3e,846.0,672,657,0.7943,pays_without_alternative
119000,1.0,3e,537.0,225,225,0.419,no_charge
160000,10.0,3e,765.0,30,30,0.0392,no_charge
159900,10.0,3e,561.0,24,24,0.0428,no_charge
121600,7.0,3e,909.0,234,234,0.2574,no_charge
122300,9.0,3e,654.0,225,225,0.344,no_charge
143400,6.0,3e,486.0,18,18,0.037,no_charge
142600,5.0,3e,429.0,18,18,0.042,no_charge
164601,7.0,3e,60.0,33,33,0.55,pays_without_alternative
143000,1.0,3e,690.0,18,18,0.0261,no_charge
143500,2.0,3e,870.0,15,15,0.0172,no_charge
142700,1.0,3e,738.0,9,9,0.0122,no_charge
144500,6.0,3e,612.0,15,15,0.0245,no_charge
143700,2.0,3e,546.0,9,9,0.0165,no_charge
130200,2.0,3e,267.0,9,9,0.0337,no_charge
137000,8.0,3e,252.0,48,33,0.1905,no_charge
138200,7.0,3e,570.0,159,135,0.2789,no_charge
136300,5.0,3e,639.0,60,54,0.0939,no_charge
137600,5.0,3e,420.0,102,102,0.2429,no_charge
111400,1.0,3e,138.0,6,6,0.0435,no_charge
156601,3.0,3e,657.0,0,0,0.0,no_charge
118400,2.0,3e,909.0,162,162,0.1782,no_charge
154300,1.0,3e,795.0,21,21,0.0264,no_charge
133700,6.0,3e,36.0,0,0,0.0,no_charge
113800,6.0,3e,111.0,30,30,0.2703,no_charge
114101,4.0,3e,183.0,81,81,0.4426,no_charge
111700,5.0,3e,807.0,42,42,0.052,no_charge
153800,2.0,3e,1026.0,9,9,0.0088,no_charge
110700,6.0,3e,489.0,54,54,0.1104,no_charge
135800,7.0,3e,198.0,54,54,0.2727,no_charge
131400,1.0,3e,243.0,15,15,0.0617,no_charge
115100,5.0,3e,570.0,111,111,0.1947,no_charge
114600,3.0,3e,549.0,102,102,0.1858,no_charge
114102,1.0,3e,129.0,63,63,0.4884,no_charge
145700,1.0,3e,351.0,0,0,0.0,no_charge
144900,1.0,3e,393.0,0,0,0.0,no_charge
126100,4.0,3e,486.0,153,153,0.3148,no_charge
126000,3.0,3e,627.0,192,192,0.3062,no_charge
155000,2.0,3e,759.0,6,6,0.0079,no_charge
149200,5.0,3e,705.0,6,6,0.0085,no_charge
148101,2.0,3e,390.0,0,0,0.0,no_charge
121300,6.0,3e,573.0,108,36,0.1885,no_charge
121200,6.0,3e,501.0,189,27,0.3772,no_charge
129101,7.0,3e,678.0,201,201,0.2965,no_charge
129000,8.0,3e,420.0,126,126,0.3,no_charge
150800,10.0,3e,663.0,9,9,0.0136,no_charge
122001,5.0,3e,777.0,222,222,0.2857,no_charge
121100,3.0,3e,471.0,102,102,0.2166,no_charge
147400,8.0,3e,0.0,0,0,0.0,no_charge
135900,9.0,3e,12.0,0,0,0.0,no_charge
135100,9.0,3e,21.0,0,0,0.0,no_charge
135300,9.0,3e,66.0,12,12,0.1818,no_charge
162200,6.0,3e,117.0,36,36,0.3077,no_charge
162102,4.0,3e,885.0,405,327,0.4576,no_charge
161700,,3e,0.0,0,0,0.0,no_charge
162602,9.0,3e,417.0,375,375,0.8993,pays_without_alternative
161600,9.0,3e,396.0,75,75,0.1894,no_charge
162101,6.0,3e,987.0,978,837,0.9909,pays_without_alternative
162601,5.0,3e,435.0,423,390,0.9724,pays_without_alternative
162000,10.0,3e,414.0,342,300,0.8261,pays_without_alternative
126801,4.0,3e,432.0,81,81,0.1875,no_charge
128601,3.0,3e,351.0,60,60,0.1709,no_charge
126601,6.0,3e,468.0,108,87,0.2308,no_charge
164401,6.0,3e,588.0,27,27,0.0459,no_charge
147002,9.0,3e,189.0,0,0,0.0,no_charge
147001,10.0,3e,339.0,0,0,0.0,no_charge
116401,4.0,3e,288.0,24,24,0.0833,no_charge
111500,2.0,3e,297.0,9,9,0.0303,no_charge
124500,7.0,3e,630.0,192,192,0.3048,no_charge
125300,5.0,3e,507.0,135,99,0.2663,no_charge
123200,6.0,3e,747.0,243,243,0.3253,no_charge
124800,6.0,3e,921.0,243,243,0.2638,no_charge
127002,7.0,3e,609.0,318,318,0.5222,pays_without_alternative
126401,8.0,3e,567.0,291,261,0.5132,no_charge
127701,8.0,3e,363.0,168,168,0.4628,no_charge
128501,7.0,3e,630.0,249,249,0.3952,no_charge
127001,7.0,3e,702.0,393,342,0.5598,pays_without_alternative
145600,6.0,3e,726.0,18,18,0.0248,no_charge
156400,1.0,3e,1164.0,12,12,0.0103,no_charge
159301,3.0,3e,984.0,84,84,0.0854,no_charge
135700,7.0,3e,18.0,0,0,0.0,no_charge
141201,3.0,3e,291.0,6,6,0.0206,no_charge
142001,6.0,3e,441.0,48,36,0.1088,no_charge
115400,2.0,3e,270.0,39,39,0.1444,no_charge
135401,2.0,3e,666.0,186,186,0.2793,no_charge
136700,1.0,3e,795.0,216,216,0.2717,no_charge
117202,2.0,3e,486.0,243,174,0.5,no_charge
117201,4.0,3e,552.0,288,282,0.5217,pays_without_alternative
159000,6.0,3e,753.0,36,36,0.0478,no_charge
121500,5.0,3e,672.0,219,24,0.3259,no_charge
121901,6.0,3e,762.0,228,186,0.2992,no_charge
157101,2.0,3e,810.0,6,6,0.0074,no_charge
158900,1.0,3e,294.0,6,6,0.0204,no_charge
163302,3.0,3e,543.0,279,258,0.5138,no_charge
120400,5.0,3e,768.0,747,207,0.9727,pays_with_alternative
119901,3.0,3e,528.0,516,279,0.9773,pays_without_alternative
132400,6.0,3e,234.0,21,21,0.0897,no_charge
114400,3.0,3e,555.0,147,147,0.2649,no_charge
114902,2.0,3e,408.0,72,72,0.1765,no_charge
117900,2.0,3e,786.0,306,219,0.3893,no_charge
127601,3.0,3e,339.0,90,90,0.2655,no_charge
164603,5.0,3e,414.0,363,363,0.8768,pays_without_alternative
112600,1.0,3e,330.0,48,48,0.1455,no_charge
142501,3.0,3e,399.0,75,75,0.188,no_charge
134600,1.0,3e,462.0,156,156,0.3377,no_charge
114201,1.0,3e,177.0,9,9,0.0508,no_charge
112101,3.0,3e,282.0,87,87,0.3085,no_charge
113201,5.0,3e,303.0,30,30,0.099,no_charge
